text,label
Worst thing I've seen. please,hate
I'll report you if this continues. please,threat
"We support you, keep it up!",support
Can you make one on topic X? please,question
"I cried watching this, such memories. please",emotional
Amazing work! Loved the animation.,praise
"We support you, keep it up!",support
Amazing work! Loved the animation. ğŸ‘,praise
"So creative, I loved it!",praise
"Keep going, you're doing great!",support
How long did it take to make this? please,question
Nice effort â€” maybe use a clearer font next time.,constructive
"Keep going, you're doing great!",support
"So creative, I loved it!",praise
Visit my site for freebies!,spam
Bravo! More content like this please. please,support
Check out my profile for free gifts please,spam
"We support you, keep it up! please",support
Amazing work! Loved the animation. please,praise
Bravo! More content like this please.!!,support
"I cried watching this, such memories.!!",emotional
Nice effort â€” maybe use a clearer font next time.,constructive
This is illegal â€” expect consequences. please,threat
"This is fantastic, great job!!!",praise
"This hit me hard, so nostalgic.",emotional
"If you don't remove this, I'll take action.",threat
Check out my profile for free gifts ğŸ‘,spam
"So creative, I loved it! please",praise
Which software did you use? ğŸ‘,question
I'll report you if this continues.,threat
Visit my site for freebies! ğŸ‘,spam
Worst thing I've seen.,hate
Check out my profile for free gifts please,spam
"We support you, keep it up! please",support
"You should stop, this is awful. please",hate
Visit my site for freebies!!!,spam
"If you don't remove this, I'll take action.",threat
Bravo! More content like this please. ğŸ‘,support
"This is trash, quit now. please",hate
This is illegal â€” expect consequences. ğŸ‘,threat
Visit my site for freebies!,spam
Which software did you use? please,question
"So creative, I loved it! please",praise
Nice effort â€” maybe use a clearer font next time. ğŸ‘,constructive
Bravo! More content like this please.!!,support
"We support you, keep it up!!!",support
"Keep going, you're doing great! please",support
"You should stop, this is awful. ğŸ‘",hate
How long did it take to make this?!!,question
"This reminded me of my childhood, thank you.!!",emotional
How long did it take to make this? please,question
Can you make one on topic X? ğŸ‘,question
Check out my profile for free gifts!!,spam
"This is trash, quit now. please",hate
Nice effort â€” maybe use a clearer font next time. please,constructive
How long did it take to make this? ğŸ‘,question
"So creative, I loved it!!!",praise
Can you make one on topic X? please,question
"Keep going, you're doing great! ğŸ‘",support
"This is fantastic, great job!!!",praise
Nice effort â€” maybe use a clearer font next time.!!,constructive
Bravo! More content like this please. ğŸ‘,support
Amazing work! Loved the animation. please,praise
"I like the idea, but the pacing needs work.",constructive
"So creative, I loved it!!!",praise
Check out my profile for free gifts!!,spam
"If you don't remove this, I'll take action. ğŸ‘",threat
"This is trash, quit now.!!",hate
Check out my profile for free gifts!!,spam
How long did it take to make this?!!,question
This is illegal â€” expect consequences. ğŸ‘,threat
"This hit me hard, so nostalgic.",emotional
Amazing work! Loved the animation.,praise
"This reminded me of my childhood, thank you.",emotional
"This is fantastic, great job! ğŸ‘",praise
"I cried watching this, such memories.!!",emotional
"Keep going, you're doing great!",support
"We support you, keep it up!!!",support
"I cried watching this, such memories.",emotional
Can you make one on topic X?,question
"I cried watching this, such memories.!!",emotional
Amazing work! Loved the animation. please,praise
Amazing work! Loved the animation.,praise
I'll report you if this continues.!!,threat
"You should stop, this is awful. please",hate
"I like the idea, but the pacing needs work.",constructive
"I cried watching this, such memories.",emotional
Can you make one on topic X?,question
"I cried watching this, such memories.!!",emotional
"Keep going, you're doing great! ğŸ‘",support
"So creative, I loved it!",praise
"I cried watching this, such memories.!!",emotional
Worst thing I've seen. please,hate
Check out my profile for free gifts ğŸ‘,spam
Check out my profile for free gifts please,spam
"So creative, I loved it! please",praise
"This reminded me of my childhood, thank you.",emotional
Follow me for followers ğŸ‘,spam
"This is trash, quit now.",hate
Which software did you use? please,question
"So creative, I loved it! please",praise
"I cried watching this, such memories.",emotional
Check out my profile for free gifts!!,spam
"This reminded me of my childhood, thank you.!!",emotional
"Keep going, you're doing great!",support
The animation is good but the voiceover felt off. please,constructive
Nice effort â€” maybe use a clearer font next time. please,constructive
How long did it take to make this? ğŸ‘,question
Bravo! More content like this please. ğŸ‘,support
Check out my profile for free gifts please,spam
Nice effort â€” maybe use a clearer font next time.!!,constructive
"This is trash, quit now. please",hate
Check out my profile for free gifts!!,spam
"So creative, I loved it!!!",praise
"This is trash, quit now. please",hate
"This reminded me of my childhood, thank you. ğŸ‘",emotional
This is illegal â€” expect consequences. ğŸ‘,threat
Amazing work! Loved the animation. ğŸ‘,praise
This is illegal â€” expect consequences. ğŸ‘,threat
Worst thing I've seen. please,hate
"This reminded me of my childhood, thank you. ğŸ‘",emotional
How long did it take to make this? please,question
"This reminded me of my childhood, thank you.!!",emotional
How long did it take to make this?!!,question
"This hit me hard, so nostalgic.",emotional
Which software did you use? ğŸ‘,question
"If you don't remove this, I'll take action. please",threat
How long did it take to make this?!!,question
"This is trash, quit now. please",hate
Amazing work! Loved the animation.,praise
"This is fantastic, great job! please",praise
The animation is good but the voiceover felt off. please,constructive
Nice effort â€” maybe use a clearer font next time.!!,constructive
The animation is good but the voiceover felt off.,constructive
"This hit me hard, so nostalgic.!!",emotional
How long did it take to make this?,question
"This is fantastic, great job!!!",praise
Follow me for followers!!,spam
Bravo! More content like this please. please,support
Nice effort â€” maybe use a clearer font next time.,constructive
Check out my profile for free gifts please,spam
The animation is good but the voiceover felt off.,constructive
"You should stop, this is awful.",hate
Worst thing I've seen.,hate
Nice effort â€” maybe use a clearer font next time.,constructive
"This reminded me of my childhood, thank you.!!",emotional
I'll report you if this continues.,threat
"This hit me hard, so nostalgic. ğŸ‘",emotional
I'll report you if this continues. please,threat
"Keep going, you're doing great!",support
Can you make one on topic X? please,question
"So creative, I loved it! please",praise
The animation is good but the voiceover felt off.,constructive
"We support you, keep it up! ğŸ‘",support
I'll report you if this continues. ğŸ‘,threat
Amazing work! Loved the animation.,praise
Can you make one on topic X? ğŸ‘,question
I'll report you if this continues.!!,threat
Check out my profile for free gifts,spam
Amazing work! Loved the animation. please,praise
This is illegal â€” expect consequences.,threat
The animation is good but the voiceover felt off. ğŸ‘,constructive
"We support you, keep it up!",support
Nice effort â€” maybe use a clearer font next time.,constructive
"This is trash, quit now. ğŸ‘",hate
The animation is good but the voiceover felt off. ğŸ‘,constructive
"This reminded me of my childhood, thank you. please",emotional
"This reminded me of my childhood, thank you.",emotional
"I cried watching this, such memories.!!",emotional
"This reminded me of my childhood, thank you. please",emotional
Bravo! More content like this please. please,support
Nice effort â€” maybe use a clearer font next time. ğŸ‘,constructive
"This hit me hard, so nostalgic. ğŸ‘",emotional
Visit my site for freebies!,spam
"This is trash, quit now.",hate
"Keep going, you're doing great!!!",support
The animation is good but the voiceover felt off. ğŸ‘,constructive
I'll report you if this continues. ğŸ‘,threat
Can you make one on topic X? please,question
"This is fantastic, great job!",praise
"Keep going, you're doing great! ğŸ‘",support
"I cried watching this, such memories.",emotional
I'll report you if this continues. ğŸ‘,threat
"This hit me hard, so nostalgic.",emotional
Check out my profile for free gifts please,spam
"This is trash, quit now.",hate
"I cried watching this, such memories.!!",emotional
"If you don't remove this, I'll take action. please",threat
"This reminded me of my childhood, thank you.",emotional
"If you don't remove this, I'll take action. please",threat
Amazing work! Loved the animation. ğŸ‘,praise
The animation is good but the voiceover felt off.,constructive
"This is trash, quit now. please",hate
Can you make one on topic X? ğŸ‘,question
Nice effort â€” maybe use a clearer font next time. ğŸ‘,constructive
Which software did you use? ğŸ‘,question
The animation is good but the voiceover felt off.,constructive
"This is trash, quit now. ğŸ‘",hate
Bravo! More content like this please.,support
Follow me for followers please,spam
I'll report you if this continues.,threat
Follow me for followers,spam
Which software did you use? please,question
Worst thing I've seen.,hate
Follow me for followers please,spam
The animation is good but the voiceover felt off.,constructive
The animation is good but the voiceover felt off. please,constructive
"If you don't remove this, I'll take action.",threat
"This is fantastic, great job! ğŸ‘",praise
Nice effort â€” maybe use a clearer font next time. please,constructive
I'll report you if this continues.,threat
This is illegal â€” expect consequences. please,threat
"So creative, I loved it! please",praise
Bravo! More content like this please. ğŸ‘,support
"You should stop, this is awful.!!",hate
"If you don't remove this, I'll take action.",threat
The animation is good but the voiceover felt off. ğŸ‘,constructive
"This is fantastic, great job! please",praise
"You should stop, this is awful.",hate
Can you make one on topic X? ğŸ‘,question
"I like the idea, but the pacing needs work. ğŸ‘",constructive
Which software did you use?,question
"If you don't remove this, I'll take action. ğŸ‘",threat
Amazing work! Loved the animation.!!,praise
Can you make one on topic X?,question
Visit my site for freebies! please,spam
Check out my profile for free gifts ğŸ‘,spam
Check out my profile for free gifts!!,spam
Visit my site for freebies! ğŸ‘,spam
Check out my profile for free gifts,spam
"Keep going, you're doing great!!!",support
I'll report you if this continues. ğŸ‘,threat
I'll report you if this continues.,threat
Follow me for followers,spam
"We support you, keep it up! ğŸ‘",support
Visit my site for freebies!!!,spam
"This hit me hard, so nostalgic. ğŸ‘",emotional
"We support you, keep it up!!!",support
"This hit me hard, so nostalgic.!!",emotional
Nice effort â€” maybe use a clearer font next time.,constructive
Worst thing I've seen.!!,hate
"This reminded me of my childhood, thank you.!!",emotional
Nice effort â€” maybe use a clearer font next time.,constructive
Follow me for followers please,spam
Can you make one on topic X?!!,question
"We support you, keep it up!",support
"I like the idea, but the pacing needs work.",constructive
Visit my site for freebies!!!,spam
Which software did you use? please,question
Amazing work! Loved the animation.!!,praise
Amazing work! Loved the animation. ğŸ‘,praise
Which software did you use?,question
"Keep going, you're doing great! ğŸ‘",support
"Keep going, you're doing great! ğŸ‘",support
This is illegal â€” expect consequences.,threat
How long did it take to make this?,question
"I cried watching this, such memories.",emotional
"This hit me hard, so nostalgic.",emotional
Visit my site for freebies!!!,spam
Nice effort â€” maybe use a clearer font next time.!!,constructive
Worst thing I've seen. please,hate
"This is fantastic, great job! ğŸ‘",praise
Worst thing I've seen.,hate
The animation is good but the voiceover felt off.!!,constructive
"This is fantastic, great job!",praise
"This hit me hard, so nostalgic. ğŸ‘",emotional
"We support you, keep it up!!!",support
"This hit me hard, so nostalgic. please",emotional
Amazing work! Loved the animation.,praise
Check out my profile for free gifts ğŸ‘,spam
"This is fantastic, great job! ğŸ‘",praise
Worst thing I've seen.,hate
"So creative, I loved it!!!",praise
Can you make one on topic X? please,question
